Nodes,Dimension,Size,Time
Nodes,Dimension,Size,Time
256,3,27.477166540504086,0.027230024337768555
256,3,27.591908323503738,0.02614116668701172
512,3,43.12648521249818,0.13144588470458984
512,3,42.49042199751349,0.13304400444030762
512,3,42.918683324721975,0.1356201171875
512,3,43.36205193094264,0.1313631534576416
512,3,43.60269423315205,0.13109612464904785
1024,3,68.33542146994169,0.5181608200073242
1024,3,68.33439671595957,0.5120859146118164
1024,3,67.83062148272742,0.5149929523468018
1024,3,68.71337347087464,0.5204329490661621
1024,3,67.99068383676659,0.5274817943572998
4,4,1.3249593719466417,2.002716064453125e-05
4,4,1.7555971941526667,4.410743713378906e-05
4,4,2.4965895951577366,1.811981201171875e-05
4,4,1.7534765486580535,3.0040740966796875e-05
4,4,1.2041671812248176,2.288818359375e-05
8,4,4.010545614405845,6.818771362304688e-05
8,4,3.5065092077153306,4.410743713378906e-05
8,4,3.713820456494794,4.410743713378906e-05
8,4,3.7481699160793163,4.410743713378906e-05
8,4,4.049795582495348,4.315376281738281e-05
16,4,6.023828115811686,0.00017213821411132812
16,4,6.5206484828740745,0.00017404556274414062
16,4,5.785141045727258,0.0001819133758544922
16,4,6.4624556997969425,0.00017595291137695312
16,4,5.936221181770236,0.0001800060272216797
32,4,10.693731453676891,0.0005068778991699219
32,4,10.223102407332542,0.0005350112915039062
32,4,10.469673647562576,0.0005109310150146484
32,4,10.304177493199058,0.0005061626434326172
32,4,10.522032686272123,0.0005159378051757812
64,4,16.849692174025378,0.0016980171203613281
64,4,16.180562858562205,0.00177001953125
64,4,17.81062729020195,0.0018000602722167969
64,4,17.581996991051298,0.0017490386962890625
64,4,17.07357075472299,0.001706838607788086
128,4,29.113468877732107,0.009650945663452148
128,4,28.147985141000333,0.007186174392700195
128,4,28.224098806312846,0.0067708492279052734
128,4,26.794809287759843,0.00764012336730957
128,4,29.39586439298278,0.008406877517700195
256,4,47.51965577736173,0.028289079666137695
256,4,46.395627594753336,0.026358842849731445
256,4,48.15652045959347,0.029824018478393555
256,4,48.23180586457078,0.029497146606445312
256,4,46.25597680275157,0.027462005615234375
512,4,79.71118188223204,0.13886499404907227
512,4,77.43128752686856,0.13174700736999512
512,4,78.60888202113642,0.13415312767028809
512,4,78.29121424088382,0.12490987777709961
512,4,76.41051273070765,0.12926387786865234
1024,4,129.17464322806217,0.520089864730835
1024,4,131.23083084271346,0.5245897769927979
1024,4,127.93692048063693,0.5112950801849365
1024,4,129.6988616847908,0.5129721164703369
1024,4,129.01444571846534,0.5169250965118408
4,0,0.39777245851270115,2.193450927734375e-05
4,0,0.9800517722968516,1.8835067749023438e-05
4,0,0.43126629935051175,5.412101745605469e-05
4,0,0.44250276982172043,2.8848648071289062e-05
4,0,1.3443673828881564,2.09808349609375e-05
8,0,0.9177959948974274,5.5789947509765625e-05
8,0,0.9273017120188826,6.604194641113281e-05
8,0,1.3178526379920008,5.1021575927734375e-05
8,0,0.5859513830083952,6.604194641113281e-05
8,0,1.2944738480599542,6.604194641113281e-05
16,0,1.2866263836828566,0.0001571178436279297
16,0,0.9238023138098708,0.00015997886657714844
16,0,1.6299263020429968,0.00016188621520996094
16,0,1.1493920380986258,0.000164031982421875
16,0,1.49264661409636,0.0001671314239501953
32,0,1.194836407839718,0.0004839897155761719
32,0,1.3837702890483161,0.0004849433898925781
32,0,0.8501477711497495,0.0005130767822265625
32,0,1.3932797711894573,0.00048089027404785156
32,0,0.9658363294681424,0.00048613548278808594
64,0,1.3787269648908584,0.002167940139770508
64,0,1.5547180997127914,0.002844095230102539
64,0,0.9590647883925973,0.001714944839477539
64,0,1.3442359557152241,0.0017309188842773438
64,0,1.032733430582367,0.00168609619140625
128,0,1.3494720113533176,0.006376028060913086
128,0,1.3105720129528762,0.006824970245361328
128,0,1.1374642063957088,0.006912946701049805
128,0,1.1599845507746096,0.006647825241088867
128,0,1.1337131443386377,0.006737947463989258
256,0,1.2255218029589545,0.03591609001159668
256,0,1.260916863949276,0.029143095016479492
256,0,1.255628169112717,0.03422904014587402
256,0,1.1799046724924551,0.029957056045532227
256,0,1.3140833981734974,0.02969193458557129
512,0,1.1993447487615396,0.13837003707885742
512,0,1.1209714821170618,0.12509894371032715
512,0,1.17175725268938,0.12354898452758789
512,0,1.227874147143306,0.12348294258117676
512,0,1.1224345875140327,0.12555980682373047
1024,0,1.1759283202276247,0.4974651336669922
1024,0,1.1743428595823207,0.49910998344421387
1024,0,1.2252102114873433,0.487529993057251
1024,0,1.2087538637884632,0.4989438056945801
1024,0,1.1993176260617282,0.5086898803710938
4,2,0.9433466992051925,2.002716064453125e-05
4,2,1.146136501797256,1.6927719116210938e-05
4,2,0.6642083619080246,3.695487976074219e-05
4,2,1.4018709460151202,1.7881393432617188e-05
4,2,0.8031353841313331,1.6927719116210938e-05
8,2,1.7042801635925482,4.38690185546875e-05
8,2,1.953990255474167,4.291534423828125e-05
8,2,1.4051543442171794,4.291534423828125e-05
8,2,2.050351815919403,0.00010704994201660156
8,2,1.827607079070791,9.799003601074219e-05
16,2,2.822947991332088,0.000202178955078125
16,2,3.1190067664609575,0.0001900196075439453
16,2,2.924737153000049,0.00018310546875
16,2,2.52945773147111,0.0001990795135498047
16,2,2.282343026366431,0.0002269744873046875
32,2,4.052818847424805,0.0005671977996826172
32,2,3.9850026771871185,0.0005049705505371094
32,2,3.5348257395932094,0.0005249977111816406
32,2,3.8319632492731635,0.000514984130859375
32,2,4.450287681912117,0.0005269050598144531
64,2,5.614283338093511,0.0017690658569335938
64,2,5.210875501048969,0.001959085464477539
64,2,5.1311733431155915,0.0018160343170166016
64,2,5.528919123457604,0.0027141571044921875
64,2,5.557094679769223,0.0019278526306152344
128,2,7.473444649976434,0.008510112762451172
128,2,7.321032525061037,0.006675004959106445
128,2,7.403581508052388,0.007975101470947266
128,2,7.22354760009231,0.007050991058349609
128,2,7.453480588879804,0.006983041763305664
256,2,10.409719587003172,0.031553030014038086
256,2,10.804562246954971,0.03317403793334961
256,2,10.328811376427623,0.03183889389038086
256,2,10.512652446339876,0.031238079071044922
256,2,10.647561900853535,0.027235984802246094
512,2,15.21345669467051,0.1278369426727295
512,2,15.083738780103923,0.12236404418945312
512,2,15.067621465523077,0.12325382232666016
512,2,14.852898596672091,0.1288900375366211
512,2,14.805004682466903,0.12552094459533691
1024,2,21.22196004480325,0.5050079822540283
1024,2,20.81936325423081,0.5005190372467041
1024,2,20.965146011176817,0.4935178756713867
1024,2,21.057785831678213,0.4895660877227783
1024,2,21.099965946903353,0.4991610050201416
4,3,1.522081324653831,2.002716064453125e-05
4,3,1.2898548953902056,4.291534423828125e-05
4,3,1.5867804361789526,3.0994415283203125e-05
4,3,1.9840657583199248,2.002716064453125e-05
4,3,1.6153869047123246,2.5987625122070312e-05
8,3,2.565307722954275,4.506111145019531e-05
8,3,2.8469473662836693,4.410743713378906e-05
